section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	15
local	posteriorMassOfLocalPeaks	0.8520359120
local	meanUphillFraction	0.4999122218
local	posteriorWeightedMeanUphillFraction	0.0106345745
local	meanBestNeighborLnLDifference	38.2610433649
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.2386206361
local	meanNeighborAbsLnLDifference	13.5777172564
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.3923789665
basin	numPeaks	15
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	923922
basin	largestBasinMass	0.9974139662
basin	basinMassEntropy	0.0179949579
basin	effectiveNumBasins	1.0181578427
basin	mapTreeHash	2870967922423119304
basin	mapPeakHash	2870967922423119304
basin	mapPeakId	0
basin	mapBasinMass	0.9974139662
basin	posteriorMassOutsideMapBasin	0.0025860338
ascent	meanAscentLength	10.8285936286
ascent	posteriorWeightedMeanAscentLength	0.1482736008
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1458854002
ascent	maxAscentLength	24
credible95	credible95NumTrees	2
credible95	credible95Mass	0.9963428870
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.9963428870
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.9963428870
barrier	basinGraphEdges	96
barrier	meanBasinGraphDegree	12.8000000000
barrier	mapBasinGraphDegree	14
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.5946784524
barrier	meanBarrier	69.3950734602
barrier	posteriorWeightedMeanBarrier	5.2440695419
barrier	maxBarrier	296.0308936324

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	2870967922423119304	0.8509910062	923922	0.9974139662
1	8503988867675560274	0.0010444460	561955	0.0025854319
2	792803319761188329	0.0000004596	280412	0.0000006017
3	10198584476546627274	0.0000000002	59549	0.0000000002
4	3829751152940691828	0.0000000000	37078	0.0000000000
5	5247846392087791657	0.0000000000	20930	0.0000000000
6	16393983788334470586	0.0000000000	57995	0.0000000000
7	15640370084378316098	0.0000000000	78480	0.0000000000
8	3900591401446325758	0.0000000000	1198	0.0000000000
9	17011690504967338450	0.0000000000	1561	0.0000000000
10	7095251626885902155	0.0000000000	2092	0.0000000000
11	14587690802677974397	0.0000000000	986	0.0000000000
12	13402267296112360766	0.0000000000	664	0.0000000000
13	14039454163682028397	0.0000000000	131	0.0000000000
14	193094558787805893	0.0000000000	72	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	11	2870967922423119304	14587690802677974397	1961728169214575224	5359150484307203344	-12454.3242187500	0.0000000000	142.4940925149	28.2506648634
10	9	7095251626885902155	17011690504967338450	2177150237848655151	4769284354873130585	-12455.9628906250	0.0000000000	32.0153333293	52.8889450880
10	7	7095251626885902155	15640370084378316098	31427722027895902	14661563008683962239	-12456.1494140625	0.0000000000	32.2018567668	98.8723103973
8	12	3900591401446325758	13402267296112360766	5403339552927254466	14548123425969005839	-12457.1298828125	0.0000000000	56.2462417196	16.1881136003
10	6	7095251626885902155	16393983788334470586	10214701200596026283	13733647579564163467	-12457.6875000000	0.0000000000	33.7399427043	103.9833299593
4	12	3829751152940691828	13402267296112360766	7730813480388876841	14548123425969005839	-12457.8037109375	0.0000000000	116.5607051626	16.8619417253
10	1	7095251626885902155	8503988867675560274	13733647579564163467	14176249209916107848	-12458.4228515625	0.0000000000	34.4752942668	139.8898103577
10	11	7095251626885902155	14587690802677974397	13530309010671291884	15111495721384557466	-12458.4550781250	0.0000000000	34.5075208293	32.3815242384
4	10	3829751152940691828	7095251626885902155	3835185147577632876	9911985667446311083	-12460.3330078125	0.0000000000	119.0900020376	36.3854505168
2	11	792803319761188329	14587690802677974397	5359150484307203344	14967034710434716294	-12460.4257812500	0.0000000000	134.1642072197	34.3522273634
8	3	3900591401446325758	10198584476546627274	6123644838625403331	15221377296761997745	-12467.8251953125	0.0000000000	66.9415542196	133.7008155074
10	3	7095251626885902155	10198584476546627274	9626929199261434534	11357585490998731734	-12468.4072265625	0.0000000000	44.4596692668	134.2828467574
1	12	8503988867675560274	13402267296112360766	1499041359560855554	14022359517604959956	-12469.0039062500	0.0000000000	150.4708650452	28.0621370378
0	12	2870967922423119304	13402267296112360766	6308447977707641549	15427494602799386842	-12470.8193359375	0.0000000000	158.9892097024	29.8775667253
8	7	3900591401446325758	15640370084378316098	1382647093454049662	3458624484506890848	-12471.7822265625	0.0000000000	70.8985854696	114.5051228973
3	9	10198584476546627274	17011690504967338450	2339808598651328137	5849501818522530948	-12472.9335937500	0.0000000000	138.8092139449	69.8596482130
11	9	14587690802677974397	17011690504967338450	6293466897370109040	14607756607353258443	-12473.3535156250	0.0000000000	47.2799617384	70.2795700880
2	12	792803319761188329	13402267296112360766	5649970757758440681	15000334707327060898	-12473.9550781250	0.0000000000	147.6935040947	33.0133089128
6	9	16393983788334470586	17011690504967338450	1550417142883836864	13221757990481376900	-12473.9951171875	0.0000000000	120.2909471468	70.9211716505
5	11	5247846392087791657	14587690802677974397	4699344603969664049	9333842452581910491	-12474.8964843750	0.0000000000	126.7697617878	48.8229304884
7	9	15640370084378316098	17011690504967338450	49220474699910726	11672325899240586977	-12476.5722656250	0.0000000000	119.2951619598	73.4983200880
4	11	3829751152940691828	14587690802677974397	13431249447877505417	13771537070509010535	-12480.3886718750	0.0000000000	139.1456661001	54.3151179884
5	12	5247846392087791657	13402267296112360766	6664200240266591440	12992293736777304860	-12485.4003906250	0.0000000000	137.2736680378	44.4586214128
3	11	10198584476546627274	14587690802677974397	9162091789990404783	16102710825834665773	-12485.7871093750	0.0000000000	151.6627295699	59.7135554884
