section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.2397206916
local	meanUphillFraction	0.4927787909
local	posteriorWeightedMeanUphillFraction	0.1060475019
local	meanBestNeighborLnLDifference	12.1039046738
local	posteriorWeightedMeanBestNeighborLnLDifference	0.8037018601
local	meanNeighborAbsLnLDifference	4.5236518345
local	posteriorWeightedMeanNeighborAbsLnLDifference	6.8370761489
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	1
basin	largestBasinSize	644096
basin	largestBasinMass	0.9507296600
basin	basinMassEntropy	0.1969134058
basin	effectiveNumBasins	1.2176385958
basin	mapTreeHash	13871337096678400226
basin	mapPeakHash	13871337096678400226
basin	mapPeakId	0
basin	mapBasinMass	0.9507296600
basin	posteriorMassOutsideMapBasin	0.0492703400
ascent	meanAscentLength	10.1424886225
ascent	posteriorWeightedMeanAscentLength	1.3308934142
ascent	meanAscentLengthCredible95	1.7916666667
ascent	posteriorWeightedMeanAscentLengthCredible95	1.2741459274
ascent	maxAscentLength	23
credible95	credible95NumTrees	24
credible95	credible95Mass	0.9533495217
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	21
credible95	credible95LargestComponentMass	0.9121104292
credible95	credible95MapComponentSize	21
credible95	credible95MapComponentMass	0.9121104292
barrier	basinGraphEdges	283
barrier	meanBasinGraphDegree	22.6400000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	5.9146324500
barrier	meanBarrier	25.6049053711
barrier	posteriorWeightedMeanBarrier	4.7897431757
barrier	maxBarrier	74.5243381660

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	13871337096678400226	0.2170049817	644096	0.9507296600
1	3145368506380147429	0.0226857340	369914	0.0492022011
2	4847690154216819309	0.0000251891	135074	0.0000595147
3	1794495616524050231	0.0000024088	262379	0.0000050004
4	10034525331251806011	0.0000016968	59487	0.0000020430
5	18053295813964894369	0.0000003491	132046	0.0000006703
6	6419012701990514701	0.0000003081	146151	0.0000008575
7	15741092437790820062	0.0000000154	45058	0.0000000273
8	4082691580623491599	0.0000000086	50919	0.0000000254
9	15536256549007645941	0.0000000001	17628	0.0000000001
10	165288350909462483	0.0000000000	11177	0.0000000000
11	10334602604355831122	0.0000000000	28559	0.0000000000
12	14021216200313225161	0.0000000000	18506	0.0000000000
13	3399799676176879235	0.0000000000	32174	0.0000000000
14	16631169613740335243	0.0000000000	19249	0.0000000000
15	1019447090273515639	0.0000000000	6555	0.0000000000
16	5406849495933628930	0.0000000000	6475	0.0000000000
17	4077820340331101249	0.0000000000	21935	0.0000000000
18	6387018444082811531	0.0000000000	9011	0.0000000000
19	10418242485808949898	0.0000000000	5107	0.0000000000
20	15749539636955644638	0.0000000000	1678	0.0000000000
21	6167178044607810403	0.0000000000	2019	0.0000000000
22	16544568066576985109	0.0000000000	621	0.0000000000
23	15256604489715936653	0.0000000000	454	0.0000000000
24	153035825777059933	0.0000000000	753	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
16	6	5406849495933628930	6419012701990514701	5406849495933628930	18327347340440714884	-2810.8620605469	0.0000000000	0.4566266053	17.8685579093
4	7	10034525331251806011	15741092437790820062	1175949597367604319	14075294711379080907	-2810.9584960938	0.0000000000	19.6710666816	14.9700969737
16	5	5406849495933628930	18053295813964894369	1660004532568243987	17388705433034518260	-2811.3947753906	0.0000000000	0.9893414491	18.5261887457
2	7	4847690154216819309	15741092437790820062	6176715223550090161	15259673464826971579	-2811.5932617188	0.0000000000	23.0035144553	15.6048625987
13	6	3399799676176879235	6419012701990514701	15773838016516151005	16489583199856802719	-2811.8779296875	0.0000000000	4.9132325837	18.8844270499
13	11	3399799676176879235	10334602604355831122	3416671293723917416	8531885368339564221	-2811.9289550781	0.0000000000	4.9642579743	7.8069340753
14	5	16631169613740335243	18053295813964894369	1755759073802152838	5925902169411876055	-2812.0302734375	0.0000000000	4.7539429608	19.1616867925
17	4	4077820340331101249	10034525331251806011	3547226487946912629	9633279252445213850	-2812.3908691406	0.0000000000	1.1249326465	21.1034397285
1	14	3145368506380147429	16631169613740335243	6753317137016240463	16794689398282930088	-2812.3969726562	0.0000000000	30.6103058322	5.1206421796
0	7	13871337096678400226	15741092437790820062	810837634322893322	12992129680275052973	-2812.4140625000	0.0000000000	32.8855797156	16.4256633800
2	6	4847690154216819309	6419012701990514701	541874133703025495	14916947124907890512	-2812.7939453125	0.0000000000	24.2041980490	19.8004426749
10	6	165288350909462483	6419012701990514701	12728702979106668881	15043988788947958263	-2813.0390625000	0.0000000000	9.4145469105	20.0455598624
0	9	13871337096678400226	15536256549007645941	309908526525872428	9299691048470213006	-2813.4594726562	0.0000000000	33.9309898719	12.0161949002
17	0	4077820340331101249	13871337096678400226	877454913226887671	7146030952045564008	-2813.5808105469	0.0000000000	2.3148740527	34.0523277625
2	4	4847690154216819309	10034525331251806011	3692015810705634324	5565160509097287730	-2813.6013183594	0.0000000000	25.0115710959	22.3138889473
8	14	4082691580623491599	16631169613740335243	5805233795112451417	10912864282234977085	-2813.6513671875	0.0000000000	17.0788060045	6.3750367108
10	14	165288350909462483	16631169613740335243	8341329693166240363	17697298947403863951	-2813.6569824219	0.0000000000	10.0324668324	6.3806519452
17	16	4077820340331101249	5406849495933628930	4077820340331101249	13027396355998675889	-2813.7302246094	0.0000000000	2.4642881152	3.3247906678
18	5	6387018444082811531	18053295813964894369	3665307239831189611	6387018444082811531	-2813.8051757812	0.0000000000	0.5951730637	20.9365891363
1	12	3145368506380147429	14021216200313225161	2388913194660755757	7994417211559369787	-2813.8237304688	0.0000000000	32.0370636447	9.2556906499
1	13	3145368506380147429	3399799676176879235	11251807937907703799	17257836947263284666	-2813.9787597656	0.0000000000	32.1920929415	7.0140626618
13	18	3399799676176879235	6387018444082811531	6387018444082811531	9991966148668401228	-2814.1279296875	0.0000000000	7.1632325837	0.9179269700
17	6	4077820340331101249	6419012701990514701	877454913226887671	18404409710204843264	-2814.2290039062	0.0000000000	2.9630674121	21.2355012687
17	19	4077820340331101249	10418242485808949898	567465339685415200	10418242485808949898	-2815.5498046875	0.0000000000	4.2838681933	0.7183343735
3	13	1794495616524050231	3399799676176879235	11251807937907703799	15348255818832336363	-2815.6298828125	0.0000000000	24.6928360322	8.6651857087
16	7	5406849495933628930	15741092437790820062	8081273230205866984	13419081008035616440	-2815.8632812500	0.0000000000	5.4578473084	19.8748821300
13	5	3399799676176879235	18053295813964894369	6321530115506067239	9991966148668401228	-2816.0351562500	0.0000000000	9.0704591462	23.1665696050
11	7	10334602604355831122	15741092437790820062	7722484449808706721	12157658975476630604	-2816.2595214844	0.0000000000	12.1375004815	20.2711223643
11	20	10334602604355831122	15749539636955644638	7722484449808706721	15749539636955644638	-2816.2595214844	0.0000000000	12.1375004815	0.2979496442
18	11	6387018444082811531	10334602604355831122	4950329161317923902	7722484449808706721	-2816.2595214844	0.0000000000	3.0495187668	12.1375004815
3	8	1794495616524050231	4082691580623491599	3916098327483412178	15348255818832336363	-2816.3171386719	0.0000000000	25.3800918916	19.7445774889
15	1	1019447090273515639	3145368506380147429	1882216854486479091	15166274547847453903	-2816.3461914062	0.0000000000	7.8365116678	34.5595245822
13	0	3399799676176879235	13871337096678400226	12565965573632587058	16793954003956303894	-2816.4538574219	0.0000000000	9.4891603181	36.9253746375
17	5	4077820340331101249	18053295813964894369	606570394859120665	3455243659118900539	-2816.5566406250	0.0000000000	5.2907041308	23.6880539800
19	0	10418242485808949898	13871337096678400226	8351160057770490067	10418242485808949898	-2816.9687500000	0.0000000000	2.1372796860	37.4402672156
6	19	6419012701990514701	10418242485808949898	1576187103660059667	10896948990519266792	-2816.9982910156	0.0000000000	24.0047883781	2.1668207017
7	20	15741092437790820062	15749539636955644638	5860632256057363619	15749539636955644638	-2817.2617187500	0.0000000000	21.2733196300	1.3001469098
7	14	15741092437790820062	16631169613740335243	6872509242917032692	10079034728237105620	-2817.2775878906	0.0000000000	21.2891887706	10.0012574139
13	20	3399799676176879235	15749539636955644638	2472622154640030853	11105908143337914752	-2817.4636230469	0.0000000000	10.4989259431	1.5020512067
16	0	5406849495933628930	13871337096678400226	6990950820370332711	9715415646066306497	-2817.7094726562	0.0000000000	7.3040387147	38.1809898719
8	6	4082691580623491599	6419012701990514701	503607865125477320	6714050081390456902	-2817.7824707031	0.0000000000	21.2099095201	24.7889680656
18	7	6387018444082811531	15741092437790820062	2576187071501161841	10670143443779855203	-2817.8127441406	0.0000000000	4.6027414231	21.8243450206
16	4	5406849495933628930	10034525331251806011	2487823974122300178	6743422355098251661	-2817.8671875000	0.0000000000	7.4617535584	26.5797580879
3	14	1794495616524050231	16631169613740335243	10609855396618328410	16961922356354187725	-2818.1091308594	0.0000000000	27.1720840791	10.8328003827
3	16	1794495616524050231	5406849495933628930	5210975025140620456	11120193076072376939	-2818.1171875000	0.0000000000	27.1801407197	7.7117535584
11	0	10334602604355831122	13871337096678400226	6323666195992751978	13569158360157987846	-2818.4953613281	0.0000000000	14.3733403253	38.9668785438
2	18	4847690154216819309	6387018444082811531	1467967470078903548	7716931357335202661	-2819.1481933594	0.0000000000	30.5584460959	5.9381906418
18	20	6387018444082811531	15749539636955644638	782896771762848287	5413808009859395582	-2819.2006835938	0.0000000000	5.9906808762	3.2391117536
12	14	14021216200313225161	16631169613740335243	12878088616039707354	15117071962996091352	-2819.3989257812	0.0000000000	14.8308859624	12.1225953046
1	16	3145368506380147429	5406849495933628930	11322161530649341587	17847330819598497722	-2819.5349121094	0.0000000000	37.7482452853	9.1294781678
16	12	5406849495933628930	14021216200313225161	11120193076072376939	12290725104225165072	-2819.5463867188	0.0000000000	9.1409527772	14.9783468999
15	2	1019447090273515639	4847690154216819309	2127305805337887378	3015171195558980074	-2819.6354980469	0.0000000000	11.1258183084	31.0457507834
18	9	6387018444082811531	15536256549007645941	11045478634636086418	14446518889069432019	-2819.7221679688	0.0000000000	6.5121652512	18.2788902127
3	20	1794495616524050231	15749539636955644638	15453574937239014887	15749539636955644638	-2819.7548828125	0.0000000000	28.8178360322	3.7933109723
15	8	1019447090273515639	4082691580623491599	13711750752981299557	15009392685649814512	-2820.1730957031	0.0000000000	11.6634159646	23.6005345201
13	7	3399799676176879235	15741092437790820062	12648280337218173519	15644979269715136409	-2820.1857910156	0.0000000000	13.2210939118	24.1973918956
11	12	10334602604355831122	14021216200313225161	8816387056358082580	14377535252068965604	-2820.3872070312	0.0000000000	16.2651860284	15.8191672124
12	5	14021216200313225161	18053295813964894369	9669623975295820202	13672050876727668857	-2820.5437011719	0.0000000000	15.9756613530	27.6751145269
13	21	3399799676176879235	6167178044607810403	16533186887523547898	17133591549130098702	-2820.5820312500	0.0000000000	13.6173341462	0.9212593941
8	5	4082691580623491599	18053295813964894369	540574740840751365	2441107893193104493	-2820.8127441406	0.0000000000	24.2401829576	27.9441574957
13	4	3399799676176879235	10034525331251806011	5585336681281042348	7106890347097743757	-2820.8264160156	0.0000000000	13.8617189118	29.5389866035
21	6	6167178044607810403	6419012701990514701	6167178044607810403	6643609668392681749	-2821.2309570312	0.0000000000	1.5701851754	28.2374543937
21	5	6167178044607810403	18053295813964894369	6167178044607810403	16903929698184142322	-2821.2390136719	0.0000000000	1.5782418160	28.3704270269
3	4	1794495616524050231	10034525331251806011	7328948432681227273	18361090021009555032	-2821.4855957031	0.0000000000	30.5485489228	30.1981662910
3	18	1794495616524050231	6387018444082811531	8914198072910777071	12210806324788898063	-2821.5541992188	0.0000000000	30.6171524385	8.3441965012
15	13	1019447090273515639	3399799676176879235	4936412424532450025	17249388207270250024	-2821.8779296875	0.0000000000	13.3682499490	14.9132325837
13	9	3399799676176879235	15536256549007645941	2425860664693351563	4105714937142795641	-2821.8955078125	0.0000000000	14.9308107087	20.4522300564
17	2	4077820340331101249	4847690154216819309	7880261899494789619	8359192181174136753	-2822.9919433594	0.0000000000	11.7260068652	34.4021960959
1	17	3145368506380147429	4077820340331101249	8125802470899250102	12611079092252506035	-2823.3784179688	0.0000000000	41.5917511447	12.1124814746
