cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50	alignment	twist	method	power	dataset	source_file	baseTau95	speedupTau95
1000000	50	0.999941	4e-06	5.9e-05	4e-06	0.953254	0.0	1.0	1938.42	209.433239	0.360041	0.000325	612	233	53	91	167	62	206	542	326	303	268	232	188	140	134	272	68	173	422	100	535	147	146	235	249	215	350	147	151	152	153	162	492	144	198	184	422	221	455	317	139	174	90	270	257	342	70	392	66	108	vert.atpase6	tw0	TBR	0.0	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.000000.tsv	765.0	0.39465131395672765
1000000	50	0.999979	2e-06	2.1e-05	2e-06	0.953254	0.0	1.0	428.84	41.523137	0.359387	0.000248	58	182	142	36	140	46	129	197	195	100	36	72	29	26	61	74	82	122	42	43	80	39	94	120	82	85	57	28	35	63	82	43	47	37	61	36	33	138	32	31	35	137	40	93	145	145	112	122	47	78	vert.atpase6	tw0	TBR	0.02	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.020000.tsv	765.0	1.7838821005503218
1000000	50	0.999989	1e-06	1.1e-05	1e-06	0.953254	0.0	1.0	262.82	22.584692	0.359204	0.000169	36	4	15	51	21	35	24	45	26	25	50	30	21	39	142	39	12	26	72	12	117	18	33	30	28	8	59	27	50	18	10	57	18	154	18	11	40	34	39	50	54	47	21	117	84	41	51	76	93	54	vert.atpase6	tw0	TBR	0.05	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.050000.tsv	765.0	2.9107373868046573
1000000	50	0.999991	1e-06	9e-06	1e-06	0.953254	0.0	1.0	240.52	23.665789	0.359008	0.000132	25	29	18	6	32	31	20	5	33	9	14	9	13	67	14	22	13	13	66	27	9	6	9	21	11	20	33	15	12	17	7	29	38	10	22	6	11	14	19	26	17	11	32	9	11	11	12	30	14	25	vert.atpase6	tw0	TBR	0.1	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.100000.tsv	765.0	3.180608681190753
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	170.02	19.39275	0.359142	0.000117	4	15	16	9	8	12	18	18	4	36	17	14	4	10	18	13	21	31	12	6	15	18	12	17	3	5	41	9	12	14	7	7	39	30	43	34	5	11	12	7	21	11	17	13	7	67	6	23	9	18	vert.atpase6	tw0	TBR	0.2	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.200000.tsv	765.0	4.499470650511705
1000000	50	0.999995	0.0	5e-06	0.0	0.953254	0.0	1.0	130.84	13.565273	0.359202	9.4e-05	6	21	10	7	16	13	30	13	11	27	13	6	16	13	24	11	5	12	4	31	7	9	24	15	8	6	8	15	13	15	10	10	11	10	8	8	19	7	12	8	36	5	14	7	5	5	4	12	12	61	vert.atpase6	tw0	TBR	0.3	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.300000.tsv	765.0	5.8468358300214
1000000	50	0.999996	0.0	4e-06	0.0	0.953254	0.0	1.0	132.86	13.641803	0.359215	8.5e-05	13	4	7	25	11	5	12	12	18	17	8	4	13	6	5	9	6	7	15	5	7	10	17	12	5	11	19	11	10	5	12	4	5	15	16	6	6	13	6	25	3	14	20	5	8	10	8	20	10	8	vert.atpase6	tw0	TBR	0.4	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.400000.tsv	765.0	5.757940689447538
1000000	50	0.999995	0.0	5e-06	0.0	0.953254	0.0	1.0	108.02	11.775952	0.359057	8e-05	7	15	4	22	11	5	8	4	11	4	5	12	8	22	5	12	14	18	18	3	5	4	11	15	3	16	12	8	11	5	6	9	5	5	15	8	4	13	5	7	7	13	8	12	23	6	25	6	5	5	vert.atpase6	tw0	TBR	0.5	vert.atpase6.tw0	vert.atpase6.tw0.conv_TBR_0.500000.tsv	765.0	7.0820218478059624
1000000	50	0.999938	4e-06	6.2e-05	4e-06	0.953254	0.0	1.0	1584.24	136.066153	0.354847	0.000377	212	280	366	71	59	145	365	668	476	145	786	168	223	194	187	66	140	284	361	187	175	370	133	137	167	138	73	438	100	194	221	437	313	264	53	166	297	402	466	97	209	93	336	137	473	559	169	509	199	86	vert.atpase6	tw0	rTBR	0.0	vert.atpase6.tw0	vert.atpase6.tw0.conv_rTBR_0.000000.tsv	765.0	0.48288138160884714
1000000	50	0.999976	2e-06	2.4e-05	2e-06	0.953254	0.0	1.0	528.94	47.868642	0.355159	0.000243	38	118	86	105	39	67	199	128	83	212	16	23	68	78	69	95	52	115	85	55	97	173	107	127	52	56	48	32	84	73	42	134	83	43	90	32	54	78	118	47	53	49	160	148	52	34	48	14	60	153	vert.atpase6	tw0	rTBR	0.02	vert.atpase6.tw0	vert.atpase6.tw0.conv_rTBR_0.020000.tsv	765.0	1.4462888040231405
