analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
mc3_NNI	0.1	50	50	1.0	0.0	18.32	0.7690120882253638	18.32	0.7690120882253638
mc3_NNI	0.1	50	50	1.0	0.0	24.82	1.5217310229217411	24.82	1.5217310229217411
mc3_NNI	0.1	50	50	1.0	0.0	43.28	3.7141802182820305	43.28	3.7141802182820305
mc3_NNI	0.1	50	50	1.0	0.0	13.9	0.7	13.9	0.7
NNI	0.2	50	13	0.26	0.06203224967708329	135718.3076923077	61226.49607886013	775286.76	56318.22712973461
NNI	0.2	50	50	1.0	0.0	240.98	91.52945099802577	240.98	91.52945099802577
NNI	0.2	50	50	1.0	0.0	2155.86	930.2003668334811	2155.86	930.2003668334811
NNI	0.2	50	50	1.0	0.0	281.98	48.70231516099432	281.98	48.70231516099432
NNI	0.2	50	50	1.0	0.0	149.04	47.024014360011975	149.04	47.024014360011975
NNI2	0.2	50	28	0.56	0.07019971509913697	27910.214285714286	15502.736472161405	455629.72	69469.07252542595
NNI2	0.2	50	50	1.0	0.0	14.9	3.077137551394815	14.9	3.077137551394815
NNI2	0.2	50	50	1.0	0.0	7391.02	5397.366468746681	7391.02	5397.366468746681
NNI2	0.2	50	50	1.0	0.0	96.02	16.379965114213682	96.02	16.379965114213682
NNI2	0.2	50	50	1.0	0.0	6.64	0.2567616221561254	6.64	0.2567616221561254
TBR	0.2	50	50	1.0	0.0	16.38	1.751475179990413	16.38	1.751475179990413
TBR	0.2	50	50	1.0	0.0	12.28	1.2639555662559454	12.28	1.2639555662559454
TBR	0.2	50	50	1.0	0.0	11.92	0.8110663175280869	11.92	0.8110663175280869
TBR	0.2	50	50	1.0	0.0	50.52	7.256087662319502	50.52	7.256087662319502
TBR	0.2	50	50	1.0	0.0	5.68	0.3238039215201643	5.68	0.3238039215201643
rTBR	0.2	50	50	1.0	0.0	33.16	2.6544317966874393	33.16	2.6544317966874393
rTBR	0.2	50	50	1.0	0.0	27.0	1.884848285996645	27.0	1.884848285996645
