move_type	power	analysis_name	num_states	stationary_discrepancy	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0.20000000000000001	NNI (0.200000)	2027025	3.9419820334890304e-17	0	0	nan	nan	0.99999985348135179	1.4651864821413341e-07	6825069.7927442286	13650138.585488455	1	4	1	0	0.34820079388793468	0.87781951565119753	94961593.329591095	0	0.2601648000539693	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	197687733555.01181
NNI2	0.20000000000000001	NNI2 (0.200000)	2027025	1.2102500098077792e-16	0	0	nan	nan	0.99999977322309963	2.2677690036942977e-07	4409620.1966379955	8819239.3932759911	1	4	0	0	0.23627013815503484	0.88768073144076665	36505773.737671778	0	0.12894362099371873	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	20380682151.834187
TBR	0.20000000000000001	TBR (0.200000)	2027025	1.1449923957242795e-16	0	0	nan	nan	0.85793796610518602	0.14206203389481398	7.0391783968151769	13.078356793630354	1	4	1	0	0.17315313947798994	0.68421529932414116	67.640976974339424	0	0.11191302055383449	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	4972.3323366728473
NNI	0.29999999999999999	NNI (0.300000)	2027025	4.0213817796465719e-17	0	0	nan	nan	nan	nan	nan	nan	1	1	0	0	0.43925831874629995	0.96688488205787637	73079176.024441317	0	0.344165044339238	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	51621642407.855377
NNI2	0.29999999999999999	NNI2 (0.300000)	2027025	1.1816034681133423e-16	0	0	nan	nan	0.99999936090014852	6.3909985148491444e-07	1564700.7234887527	3129400.4469775055	1	2	1	0	0.3222366093028165	1.0814035289787627	0	0	0.19640580189031578	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	124582825587.95244
TBR	0.29999999999999999	TBR (0.300000)	2027025	2.3749487227714068e-16	0	0	nan	nan	0.81582190176564362	0.18417809823435638	5.4295272325353023	9.8590544650706047	1	4	1	0	0.21419279953692122	0.79657812952742812	53.336946475361223	0	0.1460575888121278	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	3835.3075183538785
NNI	0.40000000000000002	NNI (0.400000)	2027025	1.1476007383890951e-16	0	0	nan	nan	nan	nan	nan	nan	1	1	0	0	0.51493622652682702	1.0050608540917012	96123039.435301647	0	0.41695703238755161	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	49090371062.48201
NNI2	0.40000000000000002	NNI2 (0.400000)	2027025	4.8485065886103094e-17	0	0	nan	nan	0.99999992017642114	7.9823578857940447e-08	12527626.727682419	25055252.455364838	1	4	1	0	0.3989210253991271	1.2178764491134166	0	0	0.26630583440709676	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	inf
TBR	0.40000000000000002	TBR (0.400000)	2027025	7.0894251618290157e-17	0	0	nan	nan	0.9953239905317155	0.0046760094682845033	213.8575652557162	426.71513051143239	1	4	1	0	0.25123389465467766	0.88909772982841784	1744.8852672111332	0	0.17982567524020257	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	151064.63129046618
NNI	0.5	NNI (0.500000)	2027025	3.9429240421319074e-17	0	0	nan	nan	nan	nan	nan	nan	1	0	0	0	0.56893530559197436	1.012551138689006	76665194.294609949	0	0.47868209343627277	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	54154732720.050049
NNI2	0.5	NNI2 (0.500000)	2027025	4.1220402772135346e-17	0	0	nan	nan	nan	nan	nan	nan	1	1	0	0	0.47001233416810873	1.3142368491784893	39228977.940143883	0	0.33802406017642389	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	95842155742.575302
TBR	0.5	TBR (0.500000)	2027025	2.8028583465366144e-16	0	0	nan	nan	nan	nan	nan	nan	1	0	0	0	0.28750459166544301	0.97135096544953314	47397390.680292025	0	0.21482657583350009	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	97525345021.581604
