section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.5381321433
local	meanUphillFraction	0.4999772362
local	posteriorWeightedMeanUphillFraction	0.0463088862
local	meanBestNeighborLnLDifference	19.2324641080
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.2509058612
local	meanNeighborAbsLnLDifference	8.3625959408
local	posteriorWeightedMeanNeighborAbsLnLDifference	8.5231393496
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	924989
basin	largestBasinMass	0.8080418839
basin	basinMassEntropy	0.4936211736
basin	effectiveNumBasins	1.6382378354
basin	mapTreeHash	1468850521170747849
basin	mapPeakHash	1468850521170747849
basin	mapPeakId	0
basin	mapBasinMass	0.8080418839
basin	posteriorMassOutsideMapBasin	0.1919581161
ascent	meanAscentLength	10.9341764408
ascent	posteriorWeightedMeanAscentLength	0.4963616977
ascent	meanAscentLengthCredible95	0.8333333333
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4585037593
ascent	maxAscentLength	24
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9547499595
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	5
credible95	credible95LargestComponentMass	0.7711246040
credible95	credible95MapComponentSize	5
credible95	credible95MapComponentMass	0.7711246040
barrier	basinGraphEdges	244
barrier	meanBasinGraphDegree	19.5200000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	4.0633293987
barrier	meanBarrier	46.6003898838
barrier	posteriorWeightedMeanBarrier	3.7515049713
barrier	maxBarrier	153.8817359086

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1468850521170747849	0.3541740306	924989	0.8080418839
1	9595187430683900120	0.1836253555	507664	0.1912974629
2	18304440094376874504	0.0003066812	313966	0.0006158852
3	7859957881495821077	0.0000259747	77506	0.0000446308
4	4865475477246680376	0.0000000638	74244	0.0000000974
5	5301191236111033279	0.0000000374	36909	0.0000000397
6	13737743600836533406	0.0000000001	11488	0.0000000001
7	3847092722669455688	0.0000000001	5672	0.0000000001
8	14049893413071493124	0.0000000000	14188	0.0000000000
9	12748971180908838233	0.0000000000	3250	0.0000000000
10	14691359977546588917	0.0000000000	18606	0.0000000000
11	17486628815982300728	0.0000000000	5536	0.0000000000
12	2557021980928662359	0.0000000000	9279	0.0000000000
13	3049368156510934102	0.0000000000	1216	0.0000000000
14	16458604756346225983	0.0000000000	3167	0.0000000000
15	11891478448177776713	0.0000000000	4325	0.0000000000
16	600072142800552365	0.0000000000	2504	0.0000000000
17	7761972936190404162	0.0000000000	7545	0.0000000000
18	14225899575374872991	0.0000000000	2645	0.0000000000
19	14065391123596508350	0.0000000000	318	0.0000000000
20	10799242644071972568	0.0000000000	371	0.0000000000
21	1158551623325779908	0.0000000000	789	0.0000000000
22	18317432355351044699	0.0000000000	690	0.0000000000
23	4360995553744515679	0.0000000000	59	0.0000000000
24	16158143083407435747	0.0000000000	99	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
15	2	11891478448177776713	18304440094376874504	1195794048110641865	16175508200736254772	-5839.1245117188	0.0000000000	8.8752879408	44.1600319269
4	17	4865475477246680376	7761972936190404162	12808757692796406476	14109954972753084440	-5840.0712890625	0.0000000000	36.6289904014	4.6954096436
7	6	3847092722669455688	13737743600836533406	9228769097044135002	12579019043015124273	-5840.1020507812	0.0000000000	29.5741187211	30.1391007356
6	10	13737743600836533406	14691359977546588917	4892476248842881205	7060539028939415778	-5840.1938476562	0.0000000000	30.2308976106	25.4733260221
12	8	2557021980928662359	14049893413071493124	11566375301377133941	17239689357773544133	-5841.6801757812	0.0000000000	15.5743919775	29.0168906253
12	7	2557021980928662359	3847092722669455688	3268428276067364030	4352814877464554127	-5842.3095703125	0.0000000000	16.2037865087	31.7816382523
1	18	9595187430683900120	14225899575374872991	14225899575374872991	15523635154737030559	-5842.5576171875	0.0000000000	53.9879815338	1.1421700913
5	3	5301191236111033279	7859957881495821077	4350691089214547097	12234726860055870148	-5842.9013671875	0.0000000000	38.9242431063	45.4682034157
16	13	600072142800552365	3049368156510934102	600072142800552365	16005632379690347243	-5843.0131835938	0.0000000000	9.3818678428	13.7178165599
16	3	600072142800552365	7859957881495821077	1214867525383548074	15923740187812842603	-5843.7114257812	0.0000000000	10.0801100303	46.2782620094
0	18	1468850521170747849	14225899575374872991	12185312224953548796	13882725602623840860	-5844.1357421875	0.0000000000	56.2229973674	2.7202950913
13	7	3049368156510934102	3847092722669455688	12316760369421071153	18193385641942669709	-5844.6367187500	0.0000000000	15.3413517162	34.1087866898
13	1	3049368156510934102	9595187430683900120	899449131103350404	5451140513111536957	-5844.8364257812	0.0000000000	15.5410587474	56.2667901276
18	10	14225899575374872991	14691359977546588917	12185312224953548796	13869086123815960319	-5845.1621093750	0.0000000000	3.7466622788	30.4415877409
7	3	3847092722669455688	7859957881495821077	2628805388749852937	12579019043015124273	-5846.6132812500	0.0000000000	36.0853491898	49.1801174782
9	18	12748971180908838233	14225899575374872991	12185312224953548796	13171728634522535911	-5847.3359375000	0.0000000000	33.6283277186	5.9204904038
5	6	5301191236111033279	13737743600836533406	3893375145165707100	5371779242507007785	-5848.1308593750	0.0000000000	44.1537352938	38.1679093293
12	1	2557021980928662359	9595187430683900120	10818647938481666046	15035147811439644309	-5848.6455078125	0.0000000000	22.5397240087	60.0758721588
7	17	3847092722669455688	7761972936190404162	4561303146550523215	17414374204387645383	-5848.7983398438	0.0000000000	38.2704077836	13.4224604248
13	6	3049368156510934102	13737743600836533406	8017912813554203439	8820399904777624251	-5849.2739257812	0.0000000000	19.9785587474	39.3109757356
17	10	7761972936190404162	14691359977546588917	3856730517224474391	15107131186248570837	-5849.3774414062	0.0000000000	14.0015619873	34.6569197721
0	19	1468850521170747849	14065391123596508350	6458289013711983407	14065391123596508350	-5849.4111328125	0.0000000000	61.4983879924	0.3040656819
17	3	7761972936190404162	7859957881495821077	9162431296688104133	17651466359870431064	-5849.6582031250	0.0000000000	14.2823237061	52.2250393532
12	11	2557021980928662359	17486628815982300728	11213450280503203464	16229687407672778956	-5849.7207031250	0.0000000000	23.6149193212	27.9336531174
