section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	31
local	posteriorMassOfLocalPeaks	0.2551603420
local	meanUphillFraction	0.4900193634
local	posteriorWeightedMeanUphillFraction	0.0998835976
local	meanBestNeighborLnLDifference	8.4337729177
local	posteriorWeightedMeanBestNeighborLnLDifference	1.0078674893
local	meanNeighborAbsLnLDifference	3.1361417205
local	posteriorWeightedMeanNeighborAbsLnLDifference	3.9356000401
basin	numPeaks	31
basin	numPeaksMassGreater01	8
basin	numPeaksMassGreater05	4
basin	largestBasinSize	423653
basin	largestBasinMass	0.4005487556
basin	basinMassEntropy	1.6544651607
basin	effectiveNumBasins	5.2302818137
basin	mapTreeHash	11924552966062684110
basin	mapPeakHash	11924552966062684110
basin	mapPeakId	0
basin	mapBasinMass	0.4005487556
basin	posteriorMassOutsideMapBasin	0.5994512444
ascent	meanAscentLength	10.0324766591
ascent	posteriorWeightedMeanAscentLength	1.1576204569
ascent	meanAscentLengthCredible95	1.9666666667
ascent	posteriorWeightedMeanAscentLengthCredible95	1.0585081940
ascent	maxAscentLength	23
credible95	credible95NumTrees	330
credible95	credible95Mass	0.9500675885
credible95	credible95NumComponents	3
credible95	credible95LargestComponentSize	320
credible95	credible95LargestComponentMass	0.9473667405
credible95	credible95MapComponentSize	320
credible95	credible95MapComponentMass	0.9473667405
barrier	basinGraphEdges	410
barrier	meanBasinGraphDegree	26.4516129032
barrier	mapBasinGraphDegree	30
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	1.9485254233
barrier	meanBarrier	18.7276895028
barrier	posteriorWeightedMeanBarrier	4.7038542915
barrier	maxBarrier	64.2751389915

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	11924552966062684110	0.0927021269	297942	0.4005487556
1	7151865426717208474	0.0654027239	423653	0.2662420072
2	15083554637051522463	0.0244306753	182585	0.0625544305
3	17824096576384865359	0.0230489726	39208	0.0390656884
4	16032003882534961703	0.0176488294	320406	0.1393341147
5	11847925066322304999	0.0145920597	258138	0.0339945151
6	11974113247624385663	0.0091855636	30974	0.0159313986
7	6664440996596744883	0.0040699029	140438	0.0271832643
8	5942375604138840610	0.0022762861	64675	0.0075925893
9	7959159305565208280	0.0008301686	81858	0.0038059245
10	17396633091649746358	0.0004921589	84410	0.0027823637
11	7838681930491769141	0.0002990420	7633	0.0004877302
12	15380433478849105164	0.0001752663	29214	0.0004593704
13	4554131551438584532	0.0000038904	5680	0.0000099520
14	15573413124086338658	0.0000019551	10080	0.0000051218
15	17386830038459447941	0.0000004521	5664	0.0000021673
16	6727119485005078247	0.0000001066	408	0.0000001274
17	17810031303443729544	0.0000000969	5012	0.0000002514
18	10151621459013354361	0.0000000388	2314	0.0000001159
19	3356640162406944433	0.0000000165	2977	0.0000000606
20	1156685722345304925	0.0000000092	2123	0.0000000506
21	9003197609332971102	0.0000000001	7056	0.0000000004
22	5084124420637145553	0.0000000000	8410	0.0000000001
23	3841367543624964478	0.0000000000	2690	0.0000000000
24	998797211429550714	0.0000000000	3622	0.0000000000
25	3768013663584133330	0.0000000000	3702	0.0000000000
26	8242945048863774426	0.0000000000	1348	0.0000000000
27	13182423793665650952	0.0000000000	1775	0.0000000000
28	7778234576965880697	0.0000000000	847	0.0000000000
29	15031927851809197990	0.0000000000	1853	0.0000000000
30	18100523249714503590	0.0000000000	330	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
5	15	11847925066322304999	17386830038459447941	95492730027144221	17475285235981433846	-1907.6420898438	0.0000003950	10.5172140718	0.1350962768
0	15	11924552966062684110	17386830038459447941	95492730027144221	17613842506923290585	-1907.7763671875	0.0000003453	12.5004053061	0.2693736206
6	12	11974113247624385663	15380433478849105164	1973504598057615582	16643900022755351643	-1907.8535156250	0.0000003197	10.2657954055	6.3067138432
2	12	15083554637051522463	15380433478849105164	11242563356279237085	13674525882256519288	-1907.8817138672	0.0000003108	11.2722000984	6.3349120854
13	4	4554131551438584532	16032003882534961703	1597438901685117892	13717320951365430537	-1908.0827636719	0.0000002542	2.7281666339	11.1480798337
13	14	4554131551438584532	15573413124086338658	5872624338176365669	16530231368884373651	-1908.2604980469	0.0000002128	2.9059010089	2.2178487612
13	12	4554131551438584532	15380433478849105164	5103939586291770020	17006287532740156057	-1908.3728027344	0.0000001902	3.0182056964	6.8260009526
8	16	5942375604138840610	6727119485005078247	6727119485005078247	8913355420391905892	-1908.9519042969	0.0000001066	9.9690962155	-0.0000196225
9	10	7959159305565208280	17396633091649746358	5846960128099129966	12447650282555424884	-1908.9786376953	0.0000001038	8.9871579507	8.4643307917
8	0	5942375604138840610	11924552966062684110	5792472448525137057	11483192280719336309	-1909.0090332031	0.0000001007	10.0262251217	13.7330713217
13	5	4554131551438584532	11847925066322304999	11731825614359067108	17006287532740156057	-1909.0318603516	0.0000000984	3.6772633136	11.9069845796
1	14	7151865426717208474	15573413124086338658	2511862823447181574	9418232841255750764	-1909.2288818359	0.0000000808	13.6040924456	3.1862325502
4	17	16032003882534961703	17810031303443729544	13228107604714328315	17810031303443729544	-1909.3209228516	0.0000000737	12.3862390134	0.2735168496
8	17	5942375604138840610	17810031303443729544	12382394209422427492	17810031303443729544	-1909.3684082031	0.0000000703	10.3856001217	0.3210022012
1	15	7151865426717208474	17386830038459447941	14183241553297454772	16248683230617791639	-1909.3942871094	0.0000000685	13.7694977191	1.8872935425
0	10	11924552966062684110	17396633091649746358	8723540564560460568	15143606688379305174	-1909.5164794922	0.0000000606	14.2405176108	9.0021725886
11	0	7838681930491769141	11924552966062684110	2295404816412774655	6976384583574298362	-1909.5364990234	0.0000000594	8.5239745483	14.2605371420
9	4	7959159305565208280	16032003882534961703	3143304606219709918	10232218100488285843	-1909.5854492188	0.0000000566	9.5939694741	12.6507653806
9	2	7959159305565208280	15083554637051522463	11471505250887661030	14104052075866507190	-1909.8206787109	0.0000000447	9.8291989663	13.2111649422
14	4	15573413124086338658	16032003882534961703	7045399317728724771	16097370512277940906	-1909.9570312500	0.0000000390	3.9143819643	13.0223474118
18	5	10151621459013354361	11847925066322304999	8140119699608240661	10151621459013354361	-1909.9987792969	0.0000000374	0.0364833246	12.8739035249
8	2	5942375604138840610	15083554637051522463	10919352813292817575	14107958458504660308	-1910.1291503906	0.0000000328	11.1463423092	13.5196366219
16	5	6727119485005078247	11847925066322304999	6727119485005078247	8606489309802438951	-1910.1689453125	0.0000000316	1.2170213931	13.0440695405
18	4	10151621459013354361	16032003882534961703	5199961418030468438	10151621459013354361	-1910.2213134766	0.0000000300	0.2590175043	13.2866296384
8	5	5942375604138840610	11847925066322304999	16838282374990677834	16991927651124256887	-1910.3524169922	0.0000000263	11.3696089108	13.2275412202
12	4	15380433478849105164	16032003882534961703	14143604153706686878	16578939608348347398	-1910.3581542969	0.0000000261	8.8113525151	13.4234704587
7	14	6664440996596744883	15573413124086338658	8825645796054570319	14983081302393914359	-1910.8659667969	0.0000000157	12.4642326366	4.8233175112
