twist	method	power	mean_speedup	se_speedup	mean_tau95	n_alignments
tw2	TBR	0.05	230.96365941388183	0.0	1422.58	1
tw2	TBR	0.1	470.5337151414905	0.0	698.28	1
tw2	TBR	0.2	696.9376434095536	0.0	471.44	1
tw2	TBR	0.3	1283.6548000039068	0.0	255.96	1
tw2	TBR	0.4	1297.0325383270172	0.0	253.32	1
tw2	TBR	0.5	1586.347444037273	0.0	207.12	1
tw2	rTBR	0.0	73.09875469631574	0.0	4494.8	1
tw2	rTBR	0.02	101.41123318137484	0.0	3239.92	1
tw2	rTBR	0.05	180.56951121620136	0.0	1819.6	1
tw2	rTBR	0.1	272.5860179606093	0.0	1205.36	1
tw2	rTBR	0.2	490.01414217174727	0.0	670.52	1
tw2	rTBR	0.3	467.8137121750149	0.0	702.34	1
tw2	rTBR	0.4	587.2672528222635	0.0	559.48	1
tw2	rTBR	0.5	572.351814460161	0.0	574.06	1
tw5	MC3_NNI	0.0	63.019745802588204	41.50353343749778	2299.684625	10
tw5	MC3_NNI	0.02	59.94981805330675	36.946057341451755	3595.139625	10
tw5	MC3_NNI	0.05	40.21425098035443	24.981931618020116	3219.057619	10
tw5	MC3_NNI	0.1	97.05736765432457	57.808841143996325	1409.4883077	10
tw5	MC3_NNI	0.2	106.72424506595114	61.3804122587688	2735.7471794999997	10
tw5	MC3_NNI	0.3	222.44159621259996	164.596935884857	1289.7614839	10
tw5	MC3_NNI	0.4	39.969482056149225	21.502636125882574	5923.8634495999995	10
tw5	MC3_NNI	0.5	9.574778612055846	4.313820811190668	47198.334181	10
tw5	NNI	0.0	1.0	0.0	19005.4337778	10
tw5	NNI	0.02	1.225907124250531	0.16574323784795997	13932.2318462	10
tw5	NNI	0.05	1.9662520290357193	0.2848213185710714	9568.5293846	10
tw5	NNI	0.1	2.623837942342504	0.3114670800791723	6899.4453333	10
tw5	NNI	0.2	3.5359211702023856	0.4183827169505068	4816.084333299999	10
tw5	NNI	0.3	2.910455187429423	0.7512076423333495	12106.782333300001	10
tw5	NNI	0.4	1.8209068349074282	0.6191845744091168	21223.3571437	10
tw5	NNI	0.5	1.6536591257435382	0.5858338354330976	49172.9325999	10
tw5	NNI2	0.0	13.114298443889869	11.699809872004371	26377.95625	10
tw5	NNI2	0.02	23.05769512202304	20.54516468506628	5481.053	10
tw5	NNI2	0.05	43.0984371688473	38.846644845130534	5838.3480952	10
tw5	NNI2	0.1	97.90115773684273	88.61534581379152	9530.2027619	10
tw5	NNI2	0.2	262.75411695629725	242.24265514454206	11917.82	10
tw5	NNI2	0.3	370.39586756591785	349.86006866777615	19218.56	10
tw5	NNI2	0.4	250.26775162029693	235.50006874320925	22305.5549681	10
tw5	NNI2	0.5	33.00659933151188	22.0566236583103	34803.6840438	10
tw5	TBR	0.0	15.45881857755263	12.022767337428458	2336.432	10
tw5	TBR	0.02	30.812403689165258	23.204688076837954	1211.652	10
tw5	TBR	0.05	70.94794266759826	60.79386593612951	810.56	10
tw5	TBR	0.1	147.16153387102318	125.72802205955627	432.27799999999996	10
tw5	TBR	0.2	307.9654623731229	257.5656748288761	221.42	10
tw5	TBR	0.3	345.5978242471011	285.8180041629216	181.024	10
tw5	TBR	0.4	263.6851463879112	201.66874748086337	154.5	10
tw5	TBR	0.5	153.58934308937557	93.0934082517961	162.418	10
tw5	rTBR	0.0	18.480908725970448	15.217293690832772	2375.866	10
tw5	rTBR	0.02	25.536500534205043	19.332565972313528	1395.596	10
tw5	rTBR	0.05	48.25213549490259	36.689971517593776	771.254	10
tw5	rTBR	0.1	86.16275853150754	70.55189449344574	542.818	10
tw5	rTBR	0.2	141.95250162557838	116.43198638594772	339.184	10
tw5	rTBR	0.3	135.67969065431873	107.54446987784809	314.694	10
tw5	rTBR	0.4	119.84897764849056	88.25037324700756	277.828	10
tw5	rTBR	0.5	124.68521791540206	96.92391773534031	292.58000000000004	10
